Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
ARTO,1015,0.9950248756218906%,1005,1000,1015,970,3581,184323,18259807,13928610
LAPD,69,0%,69,70,70,65,1004,181888,1228178,273678
MLPL,90,0%,90,90,91,88,936,181740,1623287,1411409
BRRC,73,-1.3513513513513513%,74,74,75,69,1180,180965,1296316,72606
LAJU,70,-2.7777777777777777%,72,71,72,68,1273,180607,1262409,150496
IOTF,62,-3.125%,64,64,65,61,1261,178938,1125297,327998
UNTD,81,-2.4096385542168677%,83,83,83,79,1161,174816,1411986,540000
PSKT,242,2.5423728813559325%,236,230,250,226,1290,173100,4102238,2504998
MAPA,660,-5.0359712230215825%,695,690,690,655,2181,171916,11457384,18812640
ACES,352,0%,352,352,352,348,2760,171785,6009670,6026377
SLIS,86,0%,86,84,86,82,1321,171247,1442806,211850
MSJA,825,-7.303370786516854%,890,890,890,775,1756,169005,13986431,4852941
UNVR,1630,-1.5105740181268883%,1655,1655,1655,1625,7025,167325,27326579,62184500
NPGF,57,-1.7241379310344827%,58,57,59,56,1957,166383,953628,184693
JAWA,148,-10.843373493975903%,166,158,158,142,2211,165293,2512218,2402477
GZCO,190,-1.0416666666666665%,192,191,193,187,2015,162634,3084004,1140000
TRON,100,-0.9900990099009901%,101,101,101,95,1644,162510,1595300,295133
KOKA,191,-2.5510204081632653%,196,193,197,186,2065,160011,3062072,546515
LSIP,1700,0.8902077151335311%,1685,1685,1745,1660,3423,159903,27343843,11593939
BEER,79,-2.4691358024691357%,81,81,81,76,1522,158210,1233389,316000
VERN,232,0.8695652173913043%,230,230,240,220,4605,156337,3605724,1105630
SNLK,234,2.631578947368421%,228,230,234,224,672,154714,3547312,105300
RBMS,63,3.278688524590164%,61,62,63,61,880,152082,946822,167341
ASSA,610,-0.8130081300813009%,615,605,615,600,1503,151780,9220285,2251594
BFIN,1005,-0.49504950495049505%,1010,1000,1015,975,1315,150068,14962336,15114581
BLES,212,1.9230769230769231%,208,208,212,204,1171,149542,3130396,1884724
HALO,74,1.36986301369863%,73,73,76,73,1153,147922,1099334,449826
AYAM,478,0%,478,478,478,472,1044,147429,7014991,1912000
BAIK,248,-6.0606060606060606%,264,264,264,244,2451,146556,3652781,279619
LAND,75,0%,75,74,75,72,1023,145838,1066047,209447
PYFA,252,-0.7874015748031495%,254,252,260,246,1131,144049,3620478,2831661
BBHI,900,0.5586592178770949%,895,895,905,890,691,144042,12961941,19361658
FIRE,122,-2.4%,125,123,125,120,1194,143606,1755828,179994
AHAP,98,0%,98,99,99,95,1084,140844,1363274,480200
JATI,111,-0.8928571428571428%,112,111,113,108,912,139120,1542159,362140
PRDL,236,-4.0650406504065035%,246,244,246,234,2942,138268,3271682,411324
HEAL,675,0%,675,675,685,660,1628,135970,9158881,10372016
JKON,85,-2.2988505747126435%,87,87,88,85,676,135931,1161848,1386224
PTPP,199,-1.4851485148514851%,202,200,200,191,1067,135632,2669761,1233780
TMPO,151,-5.031446540880504%,159,152,157,148,1841,135003,2048124,159808
JAST,92,-2.127659574468085%,94,93,93,88,932,134075,1208745,99597
MARK,1105,0%,1105,1110,1110,1075,1498,132917,14417901,4199000
SINI,13100,-3.3210332103321036%,13550,13500,13875,12825,7417,131597,174435655,15752750
DFAM,83,-3.488372093023256%,86,86,86,82,1070,131366,1101580,157688
TYRE,110,-3.508771929824561%,114,124,136,110,2021,131161,1604751,382864
NTBK,84,0%,84,84,84,81,904,130874,1080449,226805
TAPG,2270,0.8888888888888888%,2250,2250,2280,2170,4770,129931,29271379,45065266
CLEO,420,-0.47393364928909953%,422,420,428,412,1362,128841,5417764,10080000
ICON,143,-0.6944444444444444%,144,144,148,140,1523,128270,1840266,155834
HRUM,920,-0.5405405405405406%,925,915,935,910,2219,127940,11740484,12436652
BREN,3240,-1.8181818181818181%,3300,3280,3290,3220,5230,126710,41083330,433467353
BIPP,67,-2.898550724637681%,69,69,69,64,858,125564,833676,336921
DGWG,336,0%,336,336,338,328,1665,124197,4150653,1976471
TOBA,550,-1.7857142857142856%,560,545,560,525,2163,123698,6731361,4575732
CARS,115,0.8771929824561403%,114,112,115,106,349,121794,1346580,1725000
DGIK,136,0%,136,136,138,132,1087,121655,1651591,753598
CENT,107,-1.834862385321101%,109,106,108,102,1095,120693,1269540,3336631
SUPA,505,-0.9803921568627451%,510,510,510,500,2035,119039,6002441,16946814
DKHH,70,-1.4084507042253522%,71,71,71,68,826,118814,825250,178522
ISEA,90,0%,90,90,91,83,911,118416,1041063,125101
PTMP,64,1.5873015873015872%,63,63,65,62,564,117693,746703,202829
DILD,118,-1.6666666666666667%,120,118,119,116,906,115638,1358503,1223171
RATU,4580,-0.43478260869565216%,4600,4610,4770,4540,6110,114359,53232937,12434946
BEEF,452,3.1963470319634704%,438,436,486,432,2257,113940,5193011,3670353
AVIA,352,-1.1235955056179776%,356,360,360,352,1529,111704,3965142,21807652
PEGE,130,0.7751937984496124%,129,127,133,123,714,111149,1420502,491126
NZIA,190,-4.522613065326634%,199,191,198,186,2142,110338,2118929,417533
KUAS,100,-1.9607843137254901%,102,102,103,100,1023,107850,1085434,129281
AADI,12225,-0.40733197556008144%,12275,12200,12275,11875,6259,106935,129747423,95194752
ASPR,140,-2.097902097902098%,143,142,143,138,1293,101643,1423943,379680
SDMU,90,0%,90,88,90,85,886,100527,884888,202562
ESTI,170,-2.2988505747126435%,174,175,177,164,2056,99979,1688117,342585
KBLV,128,-2.2900763358778624%,131,131,131,125,883,98670,1254115,222997
NIKL,224,-5.084745762711865%,236,234,236,224,1333,97345,2213403,565230
CHEM,72,0%,72,72,73,70,525,97005,691210,122401
BAPA,128,-4.477611940298507%,134,131,132,125,1457,96723,1241257,84708
OMED,214,0%,214,214,218,212,886,95302,2049286,5790594
SSMS,1195,0%,1195,1190,1240,1165,3187,95202,11415599,11382375
BSDE,645,1.574803149606299%,635,640,645,625,1362,94240,5973613,13655531
PURI,159,-1.8518518518518516%,162,162,167,154,2966,93892,1504272,159000
ASRI,125,-3.10077519379845%,129,129,129,124,652,93271,1168302,2456176
DKFT,700,-1.4084507042253522%,710,710,710,690,1902,91345,6396650,3946773
BJTM,520,-0.9523809523809524%,525,525,530,520,1300,91112,4751542,7729978
SAPX,505,24.38423645320197%,406,490,505,484,2004,89584,4432823,420833
PGEO,1025,0.9852216748768473%,1015,1010,1025,1000,2350,88986,8990173,42965054
RMKO,350,-1.6853932584269662%,356,354,360,338,1281,85932,2984818,551852
TNCA,180,-2.7027027027027026%,185,186,208,180,2404,85601,1651808,75895
KJEN,152,-5%,160,160,160,145,1269,85450,1287609,76000
HRTA,2170,-2.2522522522522523%,2220,2170,2210,2140,2260,84327,18317345,9993419
WBSA,680,-3.546099290780142%,705,700,705,675,2730,82480,5645559,5899000
PPRI,178,-3.783783783783784%,185,185,185,173,966,82390,1453137,191355
IKAN,90,-1.098901098901099%,91,91,92,88,781,82293,741238,75000
ULTJ,1510,-0.9836065573770493%,1525,1525,1525,1490,2430,81756,12316877,15701245
PANI,5625,-2.1739130434782608%,5750,5725,5725,5600,4219,79302,44772248,102315950
KOPI,199,-4.326923076923077%,208,208,242,194,2184,77935,1710083,138756
WINS,620,12.727272727272727%,550,550,650,550,1480,77599,4704159,2804301
GDST,112,-2.608695652173913%,115,116,116,110,653,75817,855864,1035160
HATM,595,-0.8333333333333334%,600,600,600,580,1142,72743,4290030,5545400
KEEN,920,-2.127659574468085%,940,940,945,905,1413,70502,6489850,3373008
SULI,88,-2.2222222222222223%,90,90,91,87,578,70068,617396,556228
ERAL,320,-0.6211180124223602%,322,322,326,310,949,69564,2219541,1660000
NOBU,515,-2.8301886792452833%,530,525,530,500,580,69527,3553155,3812885
EXCL,2630,-2.5925925925925926%,2700,2680,2690,2620,2544,68443,18117032,47865638
WAPO,185,0%,185,184,198,171,1004,68048,1255539,229571
POWR,995,1.015228426395939%,985,960,995,960,1585,66829,6574075,16006720
AKSI,340,16.43835616438356%,292,296,358,294,2280,65594,2151305,244800
CTRA,615,-0.8064516129032258%,620,615,620,605,1988,65550,4012158,11399453
BAJA,282,-4.081632653061225%,294,290,290,270,1433,64872,1798436,507600
MHKI,132,-4.3478260869565215%,138,137,137,130,973,64606,855432,495000
PART,102,-0.9708737864077669%,103,104,104,99,650,63664,643426,290761
CGAS,149,-1.3245033112582782%,151,151,152,140,979,63656,936059,263953
TMAS,146,-1.3513513513513513%,148,148,148,143,602,63307,913965,8329519
MIKA,1860,2.479338842975207%,1815,1800,1860,1780,1517,63015,11500448,25867916
AGRO,149,-0.6666666666666667%,150,150,150,147,562,62946,932277,3649471
MIDI,266,0%,266,266,270,262,888,62738,1673913,8893788
PAMG,56,0%,56,56,56,55,486,62599,346310,175000
HMSP,730,-1.3513513513513513%,740,740,740,730,1033,61702,4517757,84912196
ASLC,67,0%,67,67,68,66,273,61065,405795,854006
WEHA,110,-0.9009009009009009%,111,111,113,108,671,60902,669960,160661
TEBE,1715,-3.3802816901408446%,1775,1775,1775,1670,2356,60615,10413020,2203775
NISP,1265,-1.171875%,1280,1280,1280,1260,645,59999,7604250,28735457
MPMX,1030,-0.4830917874396135%,1035,1035,1035,1020,1881,59740,6117798,4518572
JAYA,156,-6.024096385542169%,166,163,163,153,869,58430,920631,124566
BCIP,62,-1.5873015873015872%,63,63,63,61,329,58078,360228,88655
WOOD,204,0%,204,204,206,196,691,57835,1158232,1313250
FAST,440,-1.345291479820628%,446,450,450,434,1524,57093,2519787,1990389
RUIS,212,1.9230769230769231%,208,214,224,206,1182,56895,1229221,163240
FORU,3720,4.788732394366197%,3550,3440,4070,3300,4544,56279,20995255,1730633
KICI,280,1.4492753623188406%,276,278,288,270,1484,55721,1563225,77280
EKAD,406,-3.7914691943127963%,422,426,430,400,1461,55653,2287191,1418513
CBUT,1015,-4.245283018867925%,1060,1060,1275,965,3723,55495,6219453,3171875
MDLA,208,0%,208,210,214,202,785,54879,1142815,2914668
INPC,160,-1.8404907975460123%,163,163,163,156,488,54461,868185,3203389
AISA,116,0%,116,117,118,114,456,54282,630638,1080169
NSSS,800,-3.0303030303030303%,825,810,815,760,1538,53746,4239917,19041255
UFOE,145,-0.684931506849315%,146,147,159,142,1145,53472,805821,420248
MAPI,1340,-2.18978102189781%,1370,1385,1385,1325,2181,52827,7082084,22244000
SOLA,91,-2.1505376344086025%,93,93,93,89,642,52322,472840,299151
DSFI,87,-1.1363636363636365%,88,86,89,85,699,51980,450332,161571
VICI,1115,0.45045045045045046%,1110,1110,1120,1040,853,51391,5611672,7479420
ACRO,65,-1.5151515151515151%,66,66,67,65,416,51254,334166,225507
BBRM,124,-3.125%,128,128,128,118,696,51076,624444,1051457
SMBR,172,-1.7142857142857144%,175,174,175,169,691,50912,871408,1708396
INDF,7300,-0.3412969283276451%,7325,7325,7375,7225,3573,49939,36438143,64097113
FORE,775,-2.515723270440252%,795,795,795,765,1558,49861,3878271,6911728
ARNA,510,-0.9708737864077669%,515,510,515,500,804,49353,2503980,3744130
DEFI,104,0%,104,103,104,101,812,48933,502337,71476
GJTL,1350,0.7462686567164178%,1340,1340,1350,1320,850,48581,6501103,4704480
INKP,8850,-2.7472527472527473%,9100,9075,9075,8825,3609,48537,43175940,48418199
BANK,260,-1.5151515151515151%,264,262,262,256,746,48364,1253598,3846225
SMGA,88,-1.1235955056179776%,89,89,89,86,518,47546,416690,770000
DGNS,280,2.18978102189781%,274,280,286,270,96,47441,1300809,385000
NRCA,555,0%,555,545,555,530,986,47243,2560458,1385423
SCNP,153,-1.2903225806451613%,155,155,175,151,1506,46540,754128,382500
BBSS,93,1.0869565217391304%,92,92,94,87,499,46229,423593,446401
INOV,138,-1.4285714285714286%,140,140,146,137,1072,45916,648497,249535
FWCT,92,0%,92,93,93,89,737,45370,409512,180596
BGTG,120,-0.8264462809917356%,121,121,122,119,365,44887,537292,2847754
AGRS,61,1.6666666666666667%,60,60,61,60,233,44517,267548,2889391
EMDE,78,-1.2658227848101267%,79,79,79,76,472,44482,344645,261300
MOLI,318,0.6329113924050633%,316,312,318,306,635,43471,1352395,866244
MAHA,145,0%,145,143,146,142,604,42787,613549,2416570
NASI,165,1.2269938650306749%,163,164,166,157,351,42246,683975,133221
NAIK,93,0%,93,93,94,90,476,41375,379123,309636
TKIM,7850,-1.5673981191222568%,7975,7875,7925,7750,1617,41351,32308875,24438805
STAA,1190,-5.555555555555555%,1260,1250,1255,1190,789,40885,5013937,12975013
TCPI,1980,-6.161137440758294%,2110,2110,2110,1965,3393,40811,8152370,9900000
DOID,252,1.6129032258064515%,248,246,258,242,671,40677,1019017,1928054
CBDK,3800,-3.307888040712468%,3930,3900,3910,3780,1815,39905,15230257,21541989
STRK,62,-1.5873015873015872%,63,62,63,61,242,39177,242115,664754
ESTA,172,-1.1494252873563218%,174,176,186,171,2283,39016,691548,417161
BDKR,155,-1.2738853503184715%,157,156,157,153,278,38706,598560,732391
PRIM,120,2.564102564102564%,117,116,121,116,304,38090,449602,407212
FPNI,545,-3.5398230088495577%,565,560,560,520,1081,37311,2019581,3033696
AREA,330,-0.6024096385542169%,332,330,348,316,853,37234,1237129,838068
DWGL,234,-0.847457627118644%,236,232,236,228,734,37215,859275,2165160
KRAS,238,-2.459016393442623%,244,238,242,236,469,37212,889741,4604442
DSNG,1625,-2.4024024024024024%,1665,1655,1660,1610,1025,36916,6012351,17224744
BABY,212,2.912621359223301%,206,206,224,206,896,36824,785570,605223
VAST,113,2.727272727272727%,110,109,115,109,629,36146,405238,345298
GRIA,164,-1.7964071856287425%,167,166,166,152,445,35520,569664,1209618
HOKI,56,0%,56,57,57,55,219,35514,196933,541954
MGRO,685,0.7352941176470588%,680,680,685,670,132,35399,2404483,2434795
HOMI,232,-4.918032786885246%,244,244,244,218,549,34889,796113,365400
CFIN,366,-2.13903743315508%,374,372,372,358,522,34773,1265300,1458334
OKAS,116,-1.694915254237288%,118,119,119,115,344,34587,403594,275320
GEMA,93,0%,93,92,94,90,326,33707,308169,148800
JELI,515,-2.8301886792452833%,530,530,530,505,1504,33066,1708191,651990
SMSM,1735,-1.4204545454545454%,1760,1760,1765,1725,1437,32375,5638556,9991302
WOMF,296,9.62962962962963%,270,274,336,270,1533,31969,980288,1030519
FITT,454,6.572769953051644%,426,424,482,424,835,31500,1452968,592140
JECC,805,-2.4242424242424243%,825,890,1025,805,2442,30743,2922932,608580
VISI,1035,5.0761421319796955%,985,970,1065,940,443,30573,3052329,3182625
VRNA,91,-3.1914893617021276%,94,94,95,89,372,30364,276960,517549
GOTO,50,0%,50,50,50,50,732,30169,150845,57028663
MPOW,113,0%,113,112,113,110,490,29774,331726,92321
IMJS,183,-1.6129032258064515%,186,188,190,178,536,29245,530018,1985415
SWID,117,-0.847457627118644%,118,118,120,114,475,29245,343269,630047
DIVA,135,-2.1739130434782608%,138,136,136,129,387,28856,384054,192857
HYGN,198,3.125%,192,192,199,192,415,28466,558136,499950
CMRY,4410,-0.8988764044943821%,4450,4440,4450,4400,1698,27823,12262602,34991952
YOII,80,-2.4390243902439024%,82,82,82,79,171,27614,221215,314159
