Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
ADMF,8700,-0.5714285714285714%,8750,8650,8750,8625,85,308,267048,10751487
PSAT,860,-0.5780346820809248%,865,860,870,855,56,707,61027,1274824
CAMP,169,-0.5882352941176471%,170,172,174,169,249,17867,304754,994565
HERO,338,-0.5882352941176471%,340,340,350,334,50,409,13827,1414068
DART,166,-0.5988023952095809%,167,168,172,164,307,8536,142289,521471
GLVA,332,-0.5988023952095809%,334,332,332,324,20,157,5103,498000
ASJT,161,-0.6172839506172839%,162,161,165,161,64,3041,49222,225400
ANJT,1590,-0.625%,1600,1595,1610,1585,29,688,110017,5333138
PURI,158,-0.628930817610063%,159,157,169,156,1870,137840,2257165,158000
GWSA,155,-0.641025641025641%,156,156,156,151,106,3356,51780,1209118
GOOD,310,-0.641025641025641%,312,312,312,308,92,1798,55737,11438349
TKIM,7575,-0.6557377049180327%,7625,7625,7800,7575,1293,23171,17708503,23582669
AGRO,145,-0.684931506849315%,146,147,148,145,447,38865,567604,3551499
INDF,7175,-0.6920415224913495%,7225,7225,7225,7100,4502,58872,42056218,62999560
ELSA,705,-0.7042253521126761%,710,710,715,700,1628,158041,11192220,5145443
MSTI,1345,-0.7380073800738007%,1355,1360,1360,1345,291,6669,901452,4222515
ROCK,1995,-0.7462686567164178%,2010,1990,2060,1990,23,57,11410,2863194
TRJA,133,-0.7462686567164178%,134,134,138,132,552,26288,351381,200857
HMSP,650,-0.7633587786259541%,655,655,660,645,2190,166045,10808663,75606750
HUMI,129,-0.7692307692307693%,130,130,133,126,1608,207137,2677591,2330227
ELPI,645,-0.7692307692307693%,650,650,665,630,648,12429,796546,6143251
WBSA,645,-0.7692307692307693%,650,645,660,635,2791,86046,5567554,5595375
APLN,127,-0.78125%,128,127,129,125,821,111978,1416544,2882815
ADMG,250,-0.7936507936507936%,252,254,256,248,153,10599,264805,972295
ASRI,125,-0.7936507936507936%,126,126,126,124,312,25229,316058,2456176
CASS,1850,-0.8042895442359249%,1865,1865,1870,1840,40,782,145542,3860858
SPTO,605,-0.819672131147541%,610,605,610,600,222,3762,227097,1633500
TOTO,240,-0.8264462809917356%,242,242,242,238,269,5457,130408,2476800
PRIM,120,-0.8264462809917356%,121,121,123,118,348,34690,418215,407212
ESIP,120,-0.8264462809917356%,121,120,123,119,1059,106927,1282419,133194
LPCK,595,-0.8333333333333334%,600,600,610,590,93,2921,174354,3055138
CTRA,595,-0.8333333333333334%,600,600,610,595,1889,113696,6833716,11028739
