Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
NEST,730,1.3888888888888888%,720,720,730,720,1656,30290,2196295,3002125
DKHH,70,1.4492753623188406%,69,69,74,69,1678,302776,2173254,178522
CMRY,4490,0.2232142857142857%,4480,4480,4520,4460,457,4837,2170366,35626727
SIDO,352,1.1494252873563218%,348,348,352,348,1257,60708,2119478,10560000
AGAR,2160,-14.624505928853754%,2530,2530,2530,2160,1420,9063,2110348,2160000
CCSI,446,1.3636363636363635%,440,440,470,420,1349,46902,2098059,594667
BBKP,51,2%,50,50,51,50,527,409992,2076008,9476814
BNGA,1740,0.2881844380403458%,1735,1735,1745,1730,336,11780,2048812,43309964
RODA,66,0%,66,67,69,65,3790,302670,2036563,897080
SMSM,1710,-0.2915451895043732%,1715,1710,1720,1705,1082,11760,2012378,9847335
MTEL,480,-0.8264462809917356%,484,484,484,476,942,41813,2004008,40108645
MAPA,660,2.3255813953488373%,645,645,660,645,532,29872,1958601,18812640
PSKT,234,0.8620689655172413%,232,232,238,230,219,83980,1950553,2422188
TOBA,530,2.912621359223301%,515,515,530,515,685,37023,1937030,4409342
PWON,272,1.4925373134328357%,268,270,272,268,706,71480,1927130,13099412
RAAM,176,-0.5649717514124294%,177,180,195,173,2002,102971,1920132,1199197
MITI,282,-2.083333333333333%,288,288,294,274,1415,67757,1902403,1057649
ABMM,2810,0.35714285714285715%,2800,2800,2850,2770,256,6725,1884852,7736394
PKPK,4170,0%,4170,4170,4220,4150,223,4511,1884485,5004000
CTTH,131,1.550387596899225%,129,129,135,128,1580,141350,1865079,161240
AVIA,342,0.5882352941176471%,340,340,344,334,701,54393,1856590,21188116
BSSR,4930,1.0245901639344261%,4880,4880,4940,4870,472,3761,1845258,12899345
PTSN,428,-2.727272727272727%,440,424,438,410,867,43091,1824561,2274539
NZIA,178,-1.6574585635359116%,181,181,181,173,1956,102403,1814102,391162
BAIK,240,3.4482758620689653%,232,232,250,230,1165,74967,1787301,270599
MGRO,690,1.4705882352941175%,680,680,690,675,110,26097,1787162,2452568
INTP,5325,1.9138755980861244%,5225,5250,5325,5250,250,3364,1785903,18270466
APEX,193,0.5208333333333333%,192,192,197,187,732,92608,1771694,684468
BDMN,4400,-0.4524886877828055%,4420,4420,4420,4370,248,4015,1761132,42573596
BEST,125,3.3057851239669422%,121,122,126,119,723,140703,1726011,1205914
HUMI,130,0%,130,130,133,126,1163,132867,1718001,2348290
TRIM,845,6.962025316455696%,790,795,860,790,254,20400,1712008,6007359
KJEN,168,1.2048192771084338%,166,166,171,165,1323,101023,1698957,84000
CENT,107,2.8846153846153846%,104,104,110,100,1564,158673,1682800,3336631
BLES,196,-0.5076142131979695%,197,197,199,192,530,85892,1680563,1742480
MOLI,326,3.1645569620253164%,316,312,330,310,619,51505,1665621,888036
OMED,218,2.8301886792452833%,212,214,220,212,399,74114,1600232,5898829
PRDL,212,-3.6363636363636362%,220,218,220,204,2227,75694,1597871,369495
BDKR,162,1.25%,160,160,163,158,856,96038,1537049,765466
ACES,350,0%,350,352,352,346,1218,43998,1535482,5992136
MAPI,1390,0.7246376811594203%,1380,1380,1395,1370,803,11006,1520705,23074000
NSSS,810,0.6211180124223602%,805,805,820,790,581,18801,1515894,19279271
MIKA,1760,-1.675977653631285%,1790,1790,1800,1755,440,8465,1496572,24477167
GZCO,188,2.1739130434782608%,184,184,190,183,766,80157,1493308,1128000
SMMT,3010,-2.903225806451613%,3100,3100,3100,2960,406,4942,1483131,10309250
BIPP,70,1.4492753623188406%,69,69,71,68,1273,207965,1449381,352007
FPNI,520,2.9702970297029703%,505,505,530,500,539,27664,1417366,2894535
DRMA,985,0%,985,985,995,975,348,14207,1402393,4635294
BEEF,428,2.3923444976076556%,418,418,438,408,571,32927,1400847,3475467
HYGN,182,-1.0869565217391304%,184,184,186,178,264,77216,1395035,459550
DATA,1680,1.5105740181268883%,1655,1650,1700,1645,397,8303,1390755,2310000
ISSP,420,-2.3255813953488373%,430,430,434,416,279,32902,1378119,3018117
ASGR,2110,0.9569377990430622%,2090,2090,2130,2080,475,6526,1367838,2845927
RGAS,110,0%,110,110,112,107,1414,124462,1358529,160516
LABA,127,0.7936507936507936%,126,129,129,124,845,107121,1347876,140132
KICI,292,6.569343065693431%,274,276,296,276,743,45238,1298593,80592
WINS,610,-1.6129032258064515%,620,625,645,605,439,20975,1294721,2759070
JAWA,163,5.844155844155844%,154,151,164,150,1231,80515,1272901,2645971
KOKA,190,0%,190,190,192,185,739,67376,1265103,543653
KAQI,93,-2.1052631578947367%,95,94,95,91,792,133095,1236605,193049
GTSI,151,-1.3071895424836601%,153,152,158,150,974,80954,1230637,2388691
ESTA,180,1.694915254237288%,177,183,191,177,1439,67202,1229345,436564
SRTG,1765,-0.2824858757062147%,1770,1770,1780,1755,373,6873,1214113,23941934
VTNY,76,-1.2987012987012987%,77,77,78,75,523,157411,1202143,476155
AISA,118,1.7241379310344827%,116,117,121,115,1208,98820,1166698,1098792
MBSS,2890,0.3472222222222222%,2880,2890,2890,2880,71,4036,1165465,5057577
JELI,476,-1.2448132780082988%,482,484,486,470,1004,23460,1115477,602616
BTPS,1030,0%,1030,1030,1040,1025,324,10703,1104414,7855463
APLN,127,-0.78125%,128,127,129,125,597,87287,1102802,2882815
GEMS,7300,-0.6802721088435374%,7350,7350,7400,7000,177,1525,1101658,42941177
WEHA,116,-0.8547008547008548%,117,114,116,112,988,94879,1079439,169424
IKAN,92,1.098901098901099%,91,94,94,91,909,116358,1072913,76667
ZATA,66,1.5384615384615385%,65,65,66,64,1061,162816,1059507,560736
RALS,384,-0.5181347150259068%,386,384,386,382,350,27350,1051128,2724864
LABS,170,1.1904761904761905%,168,168,180,168,976,59783,1041812,671500
EKAD,402,1.5151515151515151%,396,396,406,390,555,25896,1035538,1404538
PRDA,2830,0.3546099290780142%,2820,2830,2850,2810,408,3558,1008749,2653125
OILS,312,0%,312,312,318,310,477,32176,1004845,141666
LEAD,105,0.9615384615384616%,104,104,108,103,501,93766,987035,608960
MLPL,89,1.1363636363636365%,88,88,89,87,461,112134,983406,1395727
ASPI,560,9.803921568627452%,510,540,580,510,531,17543,962953,382934
AKSI,392,5.9459459459459465%,370,372,410,362,870,23957,931609,282240
BELL,106,-0.9345794392523363%,107,108,108,102,979,88570,930229,768500
MMLP,316,4.635761589403973%,302,300,322,300,505,29992,927716,2176967
JECX,1360,0.7407407407407408%,1350,1350,1395,1340,553,6693,912242,4424382
VERN,226,0.8928571428571428%,224,224,226,220,2080,40128,897980,1077036
MKPI,21625,-0.5747126436781609%,21750,21700,21725,21625,110,409,887970,20504695
ENZO,79,1.282051282051282%,78,79,80,76,1029,113594,881374,170841
RMKO,328,2.5%,320,316,332,312,563,27143,871827,517164
KBLI,366,-4.18848167539267%,382,388,388,360,578,23284,861803,1466648
TOTL,1545,0.6514657980456027%,1535,1535,1560,1530,335,5541,855289,5268450
ESIP,120,-0.8264462809917356%,121,120,123,119,713,71017,852145,133194
VOKS,318,1.9230769230769231%,312,300,348,282,1093,26319,849153,1321482
FIRE,122,0%,122,122,125,118,577,69722,846223,179994
GRIA,170,1.7964071856287425%,167,166,178,165,606,49141,838435,1253873
DKFT,655,2.34375%,640,645,660,645,276,12692,827933,3693052
PPRE,105,0.9615384615384616%,104,104,106,103,514,77730,813738,1073548
TSPC,2780,0.36101083032490977%,2770,2770,2800,2760,157,2904,806280,12537423
SMAR,6100,0.8264462809917356%,6050,6050,6200,6000,239,1327,804163,17520380
TOOL,71,0%,71,71,72,70,929,113234,804067,145551
PZZA,191,3.2432432432432434%,185,185,206,183,1046,40862,801930,577178
KUAS,101,2.0202020202020203%,99,99,102,97,660,78669,782708,130574
POLA,72,0%,72,73,74,71,728,104170,752315,241277
LPPF,1615,0%,1615,1615,1620,1610,258,4598,742637,3597056
MCAS,266,-2.2058823529411766%,272,286,292,262,1020,26320,733831,230870
MSTI,1355,0%,1355,1360,1360,1345,194,5325,719830,4253909
TOSK,83,-1.1904761904761905%,84,85,85,82,345,86100,717492,363148
BKSW,52,-3.7037037037037033%,54,53,53,51,182,139429,714481,1809936
BJTM,525,0.9615384615384616%,520,520,525,520,300,13501,703875,7804305
MTDL,505,0%,505,505,510,500,281,13892,701065,6199827
UNTD,80,0%,80,80,82,79,348,85750,687824,533333
NIKL,220,0.9174311926605505%,218,218,226,214,467,30996,682023,555137
SMLE,210,-1.8691588785046727%,214,222,222,202,414,32577,677377,488912
TMPO,156,1.2987012987012987%,154,154,157,151,523,43160,665764,165100
GOLF,168,-2.8901734104046244%,173,173,175,164,682,39469,664340,3273776
AREA,320,1.910828025477707%,314,318,332,306,560,20345,650488,812672
PBSA,745,-0.6666666666666667%,750,750,755,730,276,8717,643470,2235000
PTPP,199,2.051282051282051%,195,195,202,195,380,32173,637916,1233780
LAJU,70,-1.4084507042253522%,71,71,71,69,507,91014,637364,150496
RLCO,4360,1.160092807424594%,4310,4310,4380,4290,330,1463,632023,13625000
KLAS,85,2.4096385542168677%,83,84,87,83,794,73972,630060,309775
MIDI,270,0.7462686567164178%,268,268,270,266,234,23263,622585,9027530
PURI,160,0.628930817610063%,159,157,164,156,281,38087,614803,160000
LAND,70,-2.7777777777777777%,72,72,73,69,695,86782,611965,195483
SURI,86,1.1764705882352942%,85,85,88,85,609,69688,602223,544756
ELPI,640,-1.5384615384615385%,650,650,665,630,451,9227,592170,6095629
MSKY,69,1.4705882352941175%,68,68,71,68,532,85110,587262,137612
ARNA,510,0%,510,505,510,500,250,11060,560605,3744130
NTBK,81,0%,81,81,84,81,620,68236,558468,218705
TNCA,184,1.6574585635359116%,181,182,196,180,928,29689,555768,77582
KKGI,314,2.6143790849673203%,306,306,314,304,440,17954,555753,1570000
DWGL,230,-0.8620689655172413%,232,232,234,224,452,24365,553881,2128149
WOWS,57,1.7857142857142856%,56,57,57,56,504,97377,547023,141116
ATAP,570,0.8849557522123894%,565,570,610,560,256,9197,531978,712500
APII,197,1.0256410256410255%,195,198,206,191,443,27000,527598,211925
MINE,302,0.6666666666666667%,300,300,306,290,394,17677,526080,1233499
APIC,404,0%,404,404,414,396,310,12144,488345,4753591
BNII,192,0.5235602094240838%,191,192,193,190,140,25500,487446,14468627
UCID,500,0%,500,505,515,498,104,9543,478782,2078286
DOID,238,-0.8333333333333334%,240,238,240,234,278,19920,471439,1820940
IOTF,63,0%,63,62,64,62,360,74405,468155,333289
MORA,5125,0.49019607843137253%,5100,5150,5200,5050,120,905,462530,244842738
WOOD,198,0%,198,198,199,194,277,23420,460215,1274625
ISEA,90,0%,90,91,93,89,470,50633,460150,125101
SWID,125,0.8064516129032258%,124,127,129,123,350,34969,438830,673127
KIOS,101,2.0202020202020203%,99,98,101,98,493,43944,437627,108662
JKON,85,-1.1627906976744187%,86,86,86,84,265,48910,415989,1386224
BJBR,795,0.6329113924050633%,790,790,795,790,172,5227,413411,8280902
RISE,805,1.257861635220126%,795,795,815,790,162,5146,411826,13039873
ESTI,167,-1.183431952662722%,169,169,171,165,555,24437,409680,336540
INPC,153,1.3245033112582782%,151,153,155,151,225,26768,408436,3063240
KAEF,448,1.3574660633484164%,442,440,460,440,289,8981,404663,2493832
BRRC,72,0%,72,72,73,70,402,55911,399039,71611
PNBN,890,0%,890,890,900,885,117,4485,398611,21215505
KRAS,230,0.8771929824561403%,228,228,238,228,284,17055,394902,4449671
PTMP,63,-1.5625%,64,64,65,63,274,61267,390280,199660
GSMF,103,0.9803921568627451%,102,102,103,100,308,38532,389979,1592052
ALII,705,-2.7586206896551726%,725,720,730,695,251,5268,373068,11157189
KBLV,127,0%,127,127,130,124,361,29247,369238,221255
BIRD,1600,0%,1600,1600,1610,1600,324,2285,366888,4003360
BUKK,1025,4.060913705583756%,985,985,1095,985,232,3546,365189,2706463
PRIM,121,0%,121,121,123,118,293,30277,365080,410606
BRNA,675,2.272727272727273%,660,670,690,660,284,5429,364272,660899
BINA,4050,-0.7352941176470588%,4080,4080,4090,4050,44,897,363451,24597146
AGRO,146,0%,146,147,148,145,275,24364,356302,3575992
TBLA,630,0.8%,625,625,635,625,130,5674,356192,3795985
SCCO,2870,-3.691275167785235%,2980,2980,2980,2840,113,1210,348369,2360097
SDMU,91,0%,91,91,92,90,353,37869,344552,204813
BAJA,280,1.4492753623188406%,276,276,280,274,287,12206,338876,504000
POLU,17300,-3.888888888888889%,18000,18000,18600,17100,121,187,331025,12975000
LUCK,119,1.7094017094017095%,117,117,119,116,210,27728,327633,85174
YOII,84,1.2048192771084338%,83,83,86,83,262,37886,319159,329867
CHEM,69,0%,69,69,70,68,298,46116,316639,117301
HOMI,246,-2.380952380952381%,252,252,260,244,170,12457,314557,387450
